               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12204,            0.025307,            0.050356,                   0,                   0,                   0,                   0,             0.10311,            0.021935,            0.042903,             0.07033,           0.0032967,           0.0032967
                   1,             0.11254,            0.026841,            0.044791,           0.0007127,            0.085842,           0.0020833,          0.00094661,            0.096367,            0.024107,            0.038129,            0.040264,           0.0065644,           0.0065644
                   2,             0.10588,            0.028668,            0.040367,           0.0033532,             0.20143,            0.021133,           0.0057394,            0.092001,               0.023,            0.031589,            0.010132,           0.0097661,           0.0097661
                   3,            0.091937,            0.027994,            0.037591,             0.41704,            0.083056,            0.043277,            0.013152,            0.076874,            0.025069,            0.030854,            0.009703,            0.009703,            0.009703
                   4,            0.075503,            0.026124,            0.035742,             0.16719,             0.34501,             0.14109,            0.043811,            0.063296,            0.019428,            0.029295,            0.009703,            0.009703,            0.009703
                   5,            0.068046,            0.024334,            0.032511,             0.27619,             0.42286,             0.32942,             0.12517,            0.057888,            0.017488,             0.02601,            0.009604,            0.009604,            0.009604
                   6,            0.065818,            0.023836,            0.032275,             0.29746,             0.48606,             0.34195,             0.10997,            0.056437,            0.016138,            0.022897,            0.009505,            0.009505,            0.009505
                   7,            0.062118,            0.021393,            0.028945,              0.4253,             0.56695,              0.4763,             0.18363,            0.051903,            0.015288,            0.021591,            0.009406,            0.009406,            0.009406
                   8,             0.05962,            0.021036,             0.02503,             0.43953,             0.62889,             0.54663,             0.20806,            0.048091,            0.014683,            0.017184,            0.009307,            0.009307,            0.009307
                   9,             0.05717,            0.020126,            0.022385,              0.6284,             0.63756,             0.64971,             0.25731,             0.04568,            0.013836,            0.014817,            0.009208,            0.009208,            0.009208
                  10,            0.056197,            0.019371,            0.020777,             0.68264,             0.67518,             0.69019,             0.27859,            0.042831,            0.013818,            0.013898,            0.009109,            0.009109,            0.009109
                  11,            0.054705,             0.01893,            0.020288,             0.60392,             0.70053,             0.66531,             0.27317,            0.047359,            0.013273,            0.011464,             0.00901,             0.00901,             0.00901
                  12,             0.05385,            0.018672,            0.017047,             0.69512,             0.70303,             0.71577,             0.26577,             0.05153,            0.013905,            0.011097,            0.008911,            0.008911,            0.008911
                  13,            0.054268,            0.018135,            0.015274,             0.80268,             0.75823,             0.78537,              0.3247,            0.044452,            0.013008,           0.0081496,            0.008812,            0.008812,            0.008812
                  14,            0.050614,            0.017768,            0.013573,             0.87785,             0.75356,             0.82377,             0.35863,            0.043236,            0.012335,           0.0074156,            0.008713,            0.008713,            0.008713
                  15,            0.050313,            0.017546,            0.012322,             0.86969,             0.78632,             0.83332,             0.35473,            0.043047,            0.012201,           0.0065554,            0.008614,            0.008614,            0.008614
                  16,            0.050432,            0.016961,            0.011226,             0.90462,             0.77375,             0.85108,             0.36798,            0.041674,            0.012137,           0.0055863,            0.008515,            0.008515,            0.008515
