               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11532,            0.026733,            0.047763,                   0,                   0,                   0,                   0,             0.10058,            0.022852,            0.042751,            0.070435,            0.003285,            0.003285
                   1,             0.10393,            0.024616,            0.042785,          0.00011806,           0.0036047,          6.2555e-05,          2.9177e-05,            0.094816,            0.023837,            0.041187,            0.040369,           0.0065528,           0.0065528
                   2,             0.10047,            0.027808,            0.041361,          0.00035327,            0.060788,          0.00023201,           5.792e-05,            0.091267,            0.025041,            0.037307,            0.010238,           0.0097546,           0.0097546
                   3,            0.096901,            0.029075,            0.038749,           0.0054917,             0.17222,           0.0046775,           0.0010382,            0.087886,             0.02605,            0.033996,            0.009703,            0.009703,            0.009703
                   4,            0.093322,            0.028393,             0.03646,           0.0062943,             0.36705,            0.018851,           0.0052785,            0.083891,            0.026086,            0.032875,            0.009703,            0.009703,            0.009703
                   5,            0.092462,            0.028101,            0.036384,             0.40187,            0.048912,            0.042631,            0.012332,            0.079061,            0.024457,            0.030999,            0.009604,            0.009604,            0.009604
                   6,            0.079618,            0.027415,            0.033295,              0.4559,             0.12665,            0.099052,            0.024187,            0.069665,            0.023994,            0.029442,            0.009505,            0.009505,            0.009505
                   7,            0.073305,            0.026775,             0.03388,            0.081332,             0.24398,            0.093237,            0.024216,            0.068295,            0.021417,            0.030325,            0.009406,            0.009406,            0.009406
                   8,            0.070726,            0.026359,             0.03443,               0.169,             0.40302,             0.22145,            0.081392,            0.063525,            0.022507,            0.030036,            0.009307,            0.009307,            0.009307
                   9,            0.064939,            0.024714,            0.034162,             0.18115,             0.38507,             0.22298,              0.0881,            0.052353,            0.018968,            0.029365,            0.009208,            0.009208,            0.009208
                  10,            0.056695,            0.022894,            0.030383,             0.25722,             0.34901,             0.30178,             0.12217,            0.049267,            0.018838,            0.027808,            0.009109,            0.009109,            0.009109
                  11,            0.055868,            0.022079,            0.030257,             0.24356,             0.38618,             0.26203,            0.083885,            0.056484,            0.016788,            0.026437,             0.00901,             0.00901,             0.00901
                  12,            0.057174,            0.022064,            0.030527,             0.36766,             0.41266,             0.39839,             0.15402,            0.049451,             0.01702,            0.025541,            0.008911,            0.008911,            0.008911
